,end_station_name,count,end_station_id,end_lat,end_lng
620,Bergen Ave & Sip Ave,17,JC109,40.73100888698729,-74.06443700194359
621,Bergen Ave & Stegman St,3,JC108,40.70657545063453,-74.0867006778717
622,Bergen St & 4 Ave,25503,4322.06,40.68256425759694,-73.9798977971077
623,Bergen St & Buffalo Ave,1404,4072.02,40.6747,-73.92512
624,Bergen St & Carlton Ave,4433,4199.07,40.68,-73.97
625,Bergen St & Flatbush Ave,32855,4281.08,40.680944723477296,-73.97567331790923
626,Bergen St & Kingston Ave,7999,4089.01,40.6756,-73.9415
627,Bergen St & Mother Gaston Blvd,1938,4055.04,40.67374,-73.90852
628,Bergen St & Saratoga Ave,1739,4064.03,40.67423,-73.91656
629,Bergen St & Smith St,38047,4446.01,40.6867443,-73.99063168
630,Bergen St & Troy Ave,2398,4048.03,40.67524,-73.93596
631,Bergen St & Vanderbilt Ave,52598,4157.10,40.6794388,-73.9680438
632,Berkeley Pl & 6 Ave,17132,4134.06,40.6765304,-73.97846879
633,Berkeley Pl & 7 Ave,43169,4051.01,40.675146838709786,-73.97523209452629
634,Berry St & N 8 St,39417,5379.09,40.7190095,-73.95852515
635,Beverley Rd & E 49 St,612,3187.01,40.64621,-73.93067
636,Beverley Rd & Flatbush Ave,3251,3180.02,40.64499,-73.95818
637,Beverley Rd & Nostrand Ave,1590,3132.09,40.64507,-73.9488
638,Bialystoker Pl & Delancey St,22710,5335.03,40.71622644,-73.98261206
639,Bleecker St & Crosby St,62895,5679.08,40.72615604980408,-73.99510189890862
640,Bleecker St & Forest Ave,3458,5176.04,40.7107,-73.90525
641,Bloomfield St & 15 St,95,HB203,40.75453,-74.02658
642,Boerum St & Broadway,15092,5004.02,40.70538077,-73.94976519
643,Bond St & Bergen St,16712,4404.10,40.6849668,-73.98620772
644,Bond St & Fulton St,23481,4479.06,40.6896218879,-73.9830426872
645,Boone Ave & E 172 St,4169,8110.04,40.832649,-73.885272
646,Borden Ave & Review Ave,2554,6001.01,40.73866345465306,-73.94093804061413
647,Boston Rd & E 167 St,7541,8048.04,40.828199,-73.903719
648,Boston Rd & E 178 St,477,8248.05,40.84096,-73.87923
649,Boston Rd & Prospect Ave,8581,8133.08,40.833246,-73.896599
650,Boston Rd & West Farms Rd,671,8212.01,40.83998,-73.8806
651,Botanical Sq & Webster Ave,3980,8646.02,40.86814,-73.88145
652,Bradhurst Ave & W 148 St,7369,7992.04,40.825125,-73.941616
653,Bradley Ave & Greenpoint Ave,3589,5917.02,40.73565914819229,-73.93478840589523
654,Brevoort Pl & Bedford Ave,8098,4181.10,40.68012,-73.95362
655,Bridge St & Water St,23361,4968.03,40.70296934155272,-73.98469090461731
656,Bridge St & York St,8527,4853.06,40.70133448066992,-73.98471236228943
657,Broad St & Bridge St,18990,4962.08,40.70365182,-74.01167797
658,Broadway & 12 St,8831,6901.01,40.7668,-73.9347774
659,Broadway & 49 St,3905,6587.04,40.755389,-73.911517
660,Broadway & 51 St,5587,6545.07,40.754164,-73.908906
661,Broadway & Battery Pl,23636,4962.01,40.70463334,-74.01361706
662,Broadway & Berry St,39887,5164.05,40.71036129922581,-73.96530389785767
663,Broadway & E 14 St,93949,5905.12,40.73454567,-73.99074142
664,Broadway & E 19 St,60305,6098.12,40.73866091428551,-73.98987293243407
665,Broadway & E 21 St,88290,6098.10,40.73988840858996,-73.98958593606949
666,Broadway & Ellwood St,2812,8547.04,40.862058,-73.929719
667,Broadway & Furman Ave,3009,4244.06,40.68139,-73.90756
668,Broadway & Hancock St,6414,4441.06,40.68663,-73.9168
669,Broadway & Kent Ave,36255,5134.09,40.71,-73.97
670,Broadway & Kosciuszko St,9725,4608.01,40.69329,-73.92852
671,Broadway & Madison St,11292,4483.10,40.68822,-73.91966
672,Broadway & Morris St,30084,5033.01,40.705945132708806,-74.01321887969969
673,Broadway & Moylan Pl,14263,7823.03,40.8143256,-73.9590255
674,Broadway & Roebling St,24086,5125.07,40.70924826276157,-73.96063148975372
675,Broadway & Van Cortlandt Park S,240,8879.02,40.8863,-73.8997
676,Broadway & W 122 St,13093,7783.18,40.8120562,-73.9612547
677,Broadway & W 131 St,10859,7865.09,40.817555,-73.957163
678,Broadway & W 133 St,11933,7903.02,40.8190344,-73.956156
679,Broadway & W 138 St,10250,7942.07,40.82182,-73.95353
680,Broadway & W 142 St,8699,7981.16,40.824686,-73.951947
681,Broadway & W 153 St,5247,8089.05,40.831327,-73.946665
682,Broadway & W 155 St,6959,8123.02,40.83299,-73.94592
683,Broadway & W 157 St,1936,8123.06,40.83402740143528,-73.94510813442648
684,Broadway & W 160 St,9208,8157.06,40.835775,-73.9434
685,Broadway & W 165 St,4764,8191.01,40.839137,-73.941409
686,Broadway & W 168 St,10088,8226.06,40.84089603193041,-73.93972098827362
687,Broadway & W 185 St,6553,8416.07,40.852538,-73.93441
688,Broadway & W 192 St,4494,8511.08,40.857994,-73.932173
689,Broadway & W 220 St,5035,8715.01,40.872412,-73.912807
690,Broadway & W 234 St,227,8849.03,40.88185,-73.90291
691,Broadway & W 238 St,378,8879.03,40.88524,-73.90077
692,Broadway & W 25 St,105398,6173.08,40.74286877312112,-73.98918628692627
693,Broadway & W 29 St,59354,6289.06,40.7462009,-73.98855723
694,Broadway & W 36 St,37038,6441.01,40.75097711,-73.98765428
695,Broadway & W 37 St,18869,6441.02,40.75172632,-73.98753523
696,Broadway & W 38 St,55405,6560.15,40.7529728216068,-73.98734897375107
697,Broadway & W 41 St,68360,6560.01,40.75513557,-73.98658032
698,Broadway & W 48 St,58935,6708.04,40.76017739537783,-73.98486793041229
699,Broadway & W 51 St,56347,6779.04,40.76228826,-73.98336183
700,Broadway & W 53 St,53498,6779.05,40.76344058,-73.98268129
701,Broadway & W 56 St,53087,6847.02,40.7652654,-73.98192338
702,Broadway & W 58 St,115645,6948.10,40.76695317,-73.98169333
703,Broadway & W 61 St,73278,7014.12,40.77003010255044,-73.9819684624672
704,Broadway & Whipple St,16940,4883.03,40.7016657,-73.9437303
705,Bronx Park S & Bryant Ave,51,8284.01,40.84437,-73.87796
